@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute limbs-1 numeric
@attribute limbs-2 numeric
@attribute limbs-3 numeric
@attribute limbs-4 numeric
@attribute limbs-5 numeric
@attribute limbs-6 numeric
@attribute limbs-7 numeric
@attribute limbs-8 numeric
@attribute limbs-9 numeric
@attribute limbs-10 numeric
@attribute limbs-11 numeric
@attribute limbs-12 numeric
@attribute limbs-13 numeric
@attribute limbs-14 numeric
@attribute limbs-15 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric

@data
27,'2015/11/24 21:07:45:176',1,123.391678,104.031837,145.716309,174.888107,139.249222,155.486816,124.457985,108.272041,168.220535,169.409683,71.163834,48.817616,167.534348,146.471405,21.423267,8,0.68,0,0,0
28,'2015/11/24 21:07:45:243',1,123.324036,103.877426,153.054779,175.382248,139.551712,155.334595,124.407646,108.242065,168.118393,168.962891,72.318993,47.18335,141.560547,139.451828,21.928921,8,0.68,0,0,0
29,'2015/11/24 21:07:45:312',1,124.130325,103.9245,130.646317,170.241074,139.462051,155.093933,124.385948,108.191605,168.085785,169.031448,83.321999,45.202312,129.175125,165.092728,22.094505,8,0.68,0,0,0
30,'2015/11/24 21:07:45:382',1,126.589218,69.814293,175.572723,174.152725,175.574585,155.979813,105.312782,108.622391,169.243561,169.578491,99.553909,35.66362,168.188065,158.414871,20.858404,8,0.68,0,0,0
31,'2015/11/24 21:07:45:448',1,128.498199,74.108307,175.372162,169.844421,158.908966,156.116302,111.249771,108.65419,173.458893,169.84021,95.139801,35.909191,177.540833,159.185043,16.364685,8,0.68,0,0,0
32,'2015/11/24 21:07:45:471',1,128.498199,74.108307,175.372162,169.844421,158.908966,156.116302,111.249771,108.65419,173.458893,169.84021,95.139801,35.909191,177.540833,159.185043,16.364685,8,0.68,0,0,0
33,'2015/11/24 21:07:45:529',1,128.811615,73.117325,173.102798,162.623962,157.693756,156.845306,111.947372,108.93634,173.106873,169.761078,86.938683,35.673847,168.72905,152.784103,16.467941,8,0.68,0,0,0
34,'2015/11/24 21:07:45:592',1,128.36293,68.319023,168.767471,177.893082,155.586472,157.258408,113.591225,109.827919,172.913437,169.886124,80.686821,21.66437,170.740204,171.847839,16.530718,8,0.68,0,0,0
35,'2015/11/24 21:07:45:636',1,127.996727,59.762691,168.314255,150.239258,154.800339,157.36261,114.890121,110.403381,172.789352,170.042404,77.338623,37.0662,170.410843,147.076736,16.506565,8,0.68,0,0,0
36,'2015/11/24 21:07:45:700',1,127.254349,58.829117,167.730225,146.64032,149.075668,159.135635,118.702888,111.077911,172.060333,169.306885,70.0336,37.390656,165.00592,156.858566,18.130468,8,0.68,0,0,0
37,'2015/11/24 21:07:45:766',1,126.066101,55.647404,170.041794,173.44957,141.018814,162.930466,118.490654,113.123093,169.751724,164.303253,62.44342,19.003138,177.047668,160.45433,25.714237,8,0.68,0,0,0
38,'2015/11/24 21:07:45:976',1,124.226135,55.61861,168.158401,164.114487,175.9897,165.289627,115.552948,114.317406,169.221573,166.144714,58.103443,17.538837,175.781723,170.311264,3.531375,8,0.68,0,0,0
39,'2015/11/24 21:07:46:037',1,124.077774,55.926144,157.830322,170.09938,175.991943,165.564346,115.554764,114.295464,169.430771,166.276596,62.349522,17.383669,173.480713,147.362915,3.690066,8,0.68,0,0,0
40,'2015/11/24 21:07:46:059',1,124.077774,55.926144,157.830322,170.09938,175.991943,165.564346,115.554764,114.295464,169.430771,166.276596,62.349522,17.383669,173.480713,147.362915,3.690066,8,0.68,0,0,0
41,'2015/11/24 21:07:46:108',1,124.014725,55.197823,155.148209,169.999344,176.011642,165.847946,115.980141,114.338943,168.997116,166.506241,63.32996,17.269144,169.392334,155.550812,3.064865,8,0.68,0,0,0
42,'2015/11/24 21:07:46:174',1,123.977791,54.789616,160.715546,161.57045,176.003372,166.024628,115.549995,114.443352,169.968216,166.558731,61.521824,19.591486,162.833099,171.734741,3.824101,8,0.68,0,0,0
43,'2015/11/24 21:07:46:196',1,123.977791,54.789616,160.715546,161.57045,176.003372,166.024628,115.549995,114.443352,169.968216,166.558731,61.521824,19.591486,162.833099,171.734741,3.824101,8,0.68,0,0,0
44,'2015/11/24 21:07:46:252',1,123.399948,55.224236,171.113724,165.972015,169.097443,164.410477,124.884048,114.481194,171.268036,165.412399,58.568115,19.373047,172.048767,167.518616,6.293206,8,0.68,0,0,0
45,'2015/11/24 21:07:46:328',1,121.768044,54.315212,168.484207,176.424271,144.059906,164.854965,148.179962,115.957298,170.990646,165.1996,58.580269,21.416977,176.959656,161.305878,6.281987,8,0.68,0,0,0
46,'2015/11/24 21:07:46:398',1,126.844666,55.393616,162.470673,173.72702,175.99263,163.104431,115.106216,112.450645,168.602783,167.435211,78.526733,22.466293,171.322586,146.0056,4.190461,8,0.68,0,0,0
47,'2015/11/24 21:07:46:475',1,126.703125,57.307571,167.636459,168.673523,162.147049,162.289963,104.832214,111.674988,170.468903,168.859161,83.313072,24.074335,140.957703,143.933105,1.804777,8,0.68,0,0,0
48,'2015/11/24 21:07:46:637',1,124.162079,60.36446,162.430969,171.521332,174.265533,160.940567,110.85614,110.819168,171.475082,170.303452,100.866493,37.910793,169.947479,164.631729,1.355113,8,0.68,0,0,0
49,'2015/11/24 21:07:46:701',1,122.45163,62.097633,165.331955,171.285126,173.847809,161.090286,111.492554,110.97448,170.718933,169.722137,104.276718,40.418297,174.073868,166.063873,1.356581,8,0.68,0,0,0
50,'2015/11/24 21:07:46:765',1,121.553474,64.180267,170.445587,170.410156,175.412766,160.697449,109.637375,111.076202,169.884064,169.273773,105.789604,42.330269,167.670547,162.617279,1.239434,8,0.68,0,0,0
51,'2015/11/24 21:07:46:787',1,121.553474,64.180267,170.445587,170.410156,175.412766,160.697449,109.637375,111.076202,169.884064,169.273773,105.789604,42.330269,167.670547,162.617279,1.239434,8,0.68,0,0,0
52,'2015/11/24 21:07:46:838',1,120.631203,65.541008,169.988068,165.464676,171.05069,160.278336,107.31691,111.338303,166.186157,168.985779,109.436989,44.129021,165.024521,164.995636,3.249506,8,0.68,0,0,0
53,'2015/11/24 21:07:46:859',1,120.631203,65.541008,169.988068,165.464676,171.05069,160.278336,107.31691,111.338303,166.186157,168.985779,109.436989,44.129021,165.024521,164.995636,3.249506,8,0.68,0,0,0
54,'2015/11/24 21:07:46:911',1,120.34745,66.098808,171.981689,166.506409,147.507599,159.16423,102.968704,111.548111,165.235443,168.597809,111.626633,45.499699,161.40303,163.815536,3.508668,8,0.68,0,0,0
