@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute limbs-1 numeric
@attribute limbs-2 numeric
@attribute limbs-3 numeric
@attribute limbs-4 numeric
@attribute limbs-5 numeric
@attribute limbs-6 numeric
@attribute limbs-7 numeric
@attribute limbs-8 numeric
@attribute limbs-9 numeric
@attribute limbs-10 numeric
@attribute limbs-11 numeric
@attribute limbs-12 numeric
@attribute limbs-13 numeric
@attribute limbs-14 numeric
@attribute limbs-15 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric

@data
27,'2015/11/25 23:40:47:228',1,107.619598,90.362862,170.980438,171.775497,174.371353,168.659653,102.398521,102.073456,152.05246,158.838821,174.818329,171.615204,171.486954,162.497284,47.165726,1,0.56,0,0,0
28,'2015/11/25 23:40:47:235',1,108.153198,89.23027,170.781738,171.746262,173.42189,168.361023,102.268326,102.062958,152.358383,157.526611,175.859787,172.072281,166.210159,162.374084,48.282829,1,0.56,0,0,0
29,'2015/11/25 23:40:47:298',1,108.968018,88.075829,170.244156,170.832291,173.415237,168.230804,102.223694,102.082344,152.042679,156.740158,173.533508,171.905075,172.586655,172.951523,49.329945,1,0.56,0,0,0
30,'2015/11/25 23:40:47:425',1,92.998863,86.191956,174.229202,171.20163,173.660278,167.649612,101.870155,102.235123,153.910263,154.181503,169.501724,175.527817,168.166519,176.322342,50.208561,1,0.56,0,0,0
31,'2015/11/25 23:40:47:524',1,98.148209,85.756271,174.370468,169.977051,174.211334,168.258957,101.928032,102.33429,153.790726,153.16124,176.230392,175.027161,175.984802,172.841858,51.264225,1,0.56,0,0,0
32,'2015/11/25 23:40:47:639',1,96.826889,85.533722,174.152512,168.554016,174.08374,168.419022,101.858879,102.383987,153.530197,153.214783,173.92955,175.979614,172.307541,170.456757,51.34911,1,0.56,0,0,0
33,'2015/11/25 23:40:47:792',1,104.685272,93.306114,170.139511,170.249191,173.510025,168.577133,102.034271,102.707428,153.929855,150.102127,166.933823,171.898178,178.052689,173.366669,54.164845,1,0.56,0,0,0
34,'2015/11/25 23:40:47:881',1,107.063972,92.308395,169.236389,167.397522,171.730759,170.010056,102.002449,102.920532,153.203094,150.109802,161.711899,169.912659,172.141266,170.536057,54.711266,1,0.56,0,0,0
35,'2015/11/25 23:40:47:954',1,107.202431,91.520309,167.16478,169.226913,170.741867,170.068481,101.973915,102.952736,152.598404,149.824417,155.729355,166.456955,176.013245,172.290375,55.54491,1,0.56,0,0,0
36,'2015/11/25 23:40:48:056',1,108.633484,92.175034,165.834457,168.092682,169.637817,170.430054,102.007141,103.008789,152.226028,148.796875,152.143158,162.584778,168.439041,178.164688,56.997864,1,0.56,0,0,0
37,'2015/11/25 23:40:48:146',1,109.472656,91.639572,165.505142,166.659409,169.340591,170.354736,102.012825,103.094551,152.27092,148.381592,150.865662,161.25621,172.768066,171.783173,57.336514,1,0.56,0,0,0
38,'2015/11/25 23:40:48:380',1,110.146088,92.458801,167.269379,172.371124,169.97728,170.074814,102.030373,103.172256,154.114746,146.685257,147.565079,163.040085,169.390198,177.408356,57.234936,1,0.56,0,0,0
39,'2015/11/25 23:40:48:476',1,110.040649,92.44194,169.612411,169.85675,170.574402,169.372635,102.063179,103.064758,154.409332,146.821335,156.254181,169.212891,179.010437,176.715134,56.822239,1,0.56,0,0,0
40,'2015/11/25 23:40:48:597',1,110.057602,92.294243,169.980133,174.154984,170.931885,167.879608,102.062653,102.848915,154.479538,146.682922,157.449768,170.77153,170.218353,168.740799,56.760715,1,0.56,0,0,0
41,'2015/11/25 23:40:48:692',1,114.675331,84.612244,169.030869,176.780609,170.406281,159.044189,102.21048,101.739357,153.173325,145.401886,156.297897,172.286942,175.498367,177.451553,58.659962,1,0.56,0,0,0
42,'2015/11/25 23:40:48:788',1,115.752022,85.112526,168.041138,174.138092,170.646896,156.762558,102.478981,101.346283,150.957062,147.759689,157.902802,173.927399,173.836914,176.033112,57.98896,1,0.56,0,0,0
43,'2015/11/25 23:40:48:885',1,118.529449,81.201187,165.708847,174.954147,170.635895,155.481644,102.577156,101.219009,150.722794,148.279648,157.72554,170.940826,168.783447,175.21315,57.364662,1,0.56,0,0,0
44,'2015/11/25 23:40:49:215',1,107.618439,82.731178,171.742889,172.703613,175.302628,163.863571,102.337219,101.912895,153.836258,157.255035,176.515579,164.079346,174.283249,167.049194,45.733704,1,0.56,0,0,0
45,'2015/11/25 23:40:49:283',1,107.128281,85.312119,172.57486,170.285965,175.509842,165.944153,102.327766,102.057457,153.901794,158.069824,176.494949,164.806015,173.272568,165.141174,45.519436,1,0.56,0,0,0
46,'2015/11/25 23:40:49:372',1,106.790512,85.194183,173.179214,170.026596,175.47728,166.933884,102.338333,102.104019,153.947464,158.146271,176.647263,165.564438,171.907837,163.712341,45.608757,1,0.56,0,0,0
47,'2015/11/25 23:40:49:467',1,106.802635,84.929085,172.433426,170.016113,175.16185,167.363297,102.303741,102.105568,153.952164,158.040451,176.726181,167.074127,167.567398,164.891266,45.746075,1,0.56,0,0,0
48,'2015/11/25 23:40:49:577',1,106.598,84.68718,171.856705,173.849411,175.515915,167.352982,102.267853,102.096428,154.044403,157.841614,175.024689,171.348557,172.052841,161.020172,45.965302,1,0.56,0,0,0
49,'2015/11/25 23:40:49:774',1,105.833374,84.68486,171.030914,171.606567,175.68808,167.267288,102.24337,102.103149,153.40274,157.757385,170.691772,170.581909,170.743454,162.870972,46.920513,1,0.56,0,0,0
50,'2015/11/25 23:40:49:778',1,107.281868,82.361298,169.236328,170.58139,174.907013,168.024826,102.112732,102.146698,154.061111,155.044495,164.165497,171.809814,173.960907,172.392548,49.033573,1,0.56,0,0,0
51,'2015/11/25 23:40:49:794',1,112.123848,81.11937,166.577484,169.116669,174.216568,167.960953,102.088913,102.161552,152.949677,155.047531,159.50087,170.408447,175.947037,176.224197,50.002701,1,0.56,0,0,0
52,'2015/11/25 23:40:49:931',1,113.527191,80.575012,164.676117,169.946426,173.504852,168.321014,102.07621,102.239075,152.84816,153.848022,154.894104,170.586945,168.369812,172.122421,51.500996,1,0.56,0,0,0
53,'2015/11/25 23:40:50:025',1,104.958076,86.510643,167.5513,171.333984,170.964737,168.83345,101.848732,102.122841,151.943085,151.405014,167.829529,170.573196,171.237137,173.202667,54.93454,1,0.56,0,0,0
54,'2015/11/25 23:40:50:131',1,106.767838,87.152252,168.78006,173.306885,169.912735,168.841583,101.802719,102.26123,152.042496,150.177887,161.302734,166.302078,160.547485,168.321182,56.128437,1,0.56,0,0,0
55,'2015/11/25 23:40:50:231',1,108.302551,88.00058,167.148804,173.247391,169.931198,169.008957,101.812698,102.388,151.747009,149.554123,159.263992,164.603699,177.194687,164.496094,56.905163,1,0.56,0,0,0
56,'2015/11/25 23:40:50:346',1,112.768593,89.269966,163.759811,171.237656,170.411621,169.745773,101.780907,102.73848,151.832687,147.043533,151.281876,162.805374,168.365402,165.310852,59.625347,1,0.56,0,0,0
57,'2015/11/25 23:40:50:498',1,115.253128,89.621544,163.967834,170.416748,169.70575,169.835083,136.892426,103.202774,150.295624,146.623215,144.517517,161.194626,173.950546,178.03096,61.450237,1,0.56,0,0,0
58,'2015/11/25 23:40:50:660',1,113.995041,90.188461,163.975601,171.672272,169.127625,170.283279,101.737144,103.349274,150.559814,145.778458,146.519775,162.687317,177.705551,171.947876,61.67358,1,0.56,0,0,0
59,'2015/11/25 23:40:50:797',1,113.37146,90.135857,165.126419,173.241455,169.705383,169.848801,101.7006,103.345718,150.808548,145.759247,147.577957,163.540131,172.070526,166.01239,61.43906,1,0.56,0,0,0
60,'2015/11/25 23:40:50:991',1,112.42453,88.404884,167.855911,172.843811,169.972961,163.163071,101.621323,102.421883,150.831177,143.724075,154.858643,170.706848,177.474365,175.335388,62.339344,1,0.56,0,0,0
61,'2015/11/25 23:40:51:138',1,109.733963,84.981949,166.638504,174.127365,170.53418,152.836105,101.841492,101.137383,147.804123,143.402313,157.906387,170.923813,175.625961,175.752991,62.845448,1,0.56,0,0,0
62,'2015/11/25 23:40:51:236',1,107.656578,81.004868,167.937119,172.010483,172.129745,153.598053,101.88916,101.182274,147.576996,145.694611,165.472458,176.312912,175.955551,169.770065,59.994209,1,0.56,0,0,0
63,'2015/11/25 23:40:51:299',1,102.961395,80.781601,171.777039,172.807175,173.30574,154.92926,101.959526,101.226402,148.648178,147.181656,172.079849,175.897247,177.359558,175.123703,56.850513,1,0.56,0,0,0
64,'2015/11/25 23:40:51:395',1,111.541611,80.122658,173.592239,171.467438,173.851151,156.965652,102.27124,101.454521,150.716507,149.89296,157.731949,174.19722,173.559509,166.873154,52.200039,1,0.56,0,0,0
65,'2015/11/25 23:40:51:482',1,111.30864,80.23555,173.206894,172.238129,173.330566,158.762848,102.268723,101.552727,149.87796,151.837036,160.380157,173.54071,172.065918,166.78688,51.552242,1,0.56,0,0,0
66,'2015/11/25 23:40:51:561',1,111.049553,80.418381,167.77504,172.637878,173.420929,161.848297,102.244514,101.753929,151.941437,154.536957,164.283188,173.990784,174.40477,174.471207,47.798786,1,0.56,0,0,0
67,'2015/11/25 23:40:51:693',1,110.045334,80.705795,167.199158,172.408203,172.347626,166.823807,102.146011,101.934181,154.433868,155.782669,164.601807,173.710434,169.718994,178.541916,45.644711,1,0.56,0,0,0
68,'2015/11/25 23:40:51:842',1,110.116692,80.064026,166.288544,173.487915,173.059845,168.832321,102.138618,102.064438,155.491867,156.754517,166.383408,170.607178,178.241272,173.999481,44.875191,1,0.56,0,0,0
69,'2015/11/25 23:40:51:926',1,111.660912,80.58416,165.949692,173.314148,173.354248,169.202652,102.134476,102.072289,156.290955,156.420319,166.783936,168.921783,174.193695,172.101624,44.982334,1,0.56,0,0,0
70,'2015/11/25 23:40:52:080',1,107.857475,81.734467,169.352859,171.077927,173.465576,169.107986,102.029579,102.015167,155.928635,156.410767,175.983841,166.088501,169.138824,170.769363,45.796387,1,0.56,0,0,0
