@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute limbs-1 numeric
@attribute limbs-2 numeric
@attribute limbs-3 numeric
@attribute limbs-4 numeric
@attribute limbs-5 numeric
@attribute limbs-6 numeric
@attribute limbs-7 numeric
@attribute limbs-8 numeric
@attribute limbs-9 numeric
@attribute limbs-10 numeric
@attribute limbs-11 numeric
@attribute limbs-12 numeric
@attribute limbs-13 numeric
@attribute limbs-14 numeric
@attribute limbs-15 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric

@data
1,'2015/11/24 19:53:37:505',1,104.355103,109.754837,171.261856,171.385544,165.19931,169.418076,108.938591,105.007637,156.046921,167.708984,67.289505,84.686096,167.836273,167.637222,31.539108,1,0.6,0,0,0
2,'2015/11/24 19:53:37:588',1,104.462128,109.55201,171.082596,170.977234,165.763611,169.341248,109.26371,105.060791,156.648972,167.617188,67.18869,84.523476,167.812347,170.444275,30.963982,1,0.6,0,0,0
3,'2015/11/24 19:53:37:637',1,104.739357,109.532265,171.060028,170.888901,165.772308,169.429962,109.228294,105.132713,156.807983,167.454453,67.217606,84.564919,167.781479,168.890137,30.966991,1,0.6,0,0,0
4,'2015/11/24 19:53:37:690',1,104.66172,109.548134,171.194168,171.336655,165.7995,169.445175,109.222916,105.124901,156.842514,167.46936,67.197418,84.457253,167.81543,168.40744,30.971575,1,0.6,0,0,0
5,'2015/11/24 19:53:37:767',1,104.641258,109.36425,170.966721,171.584763,165.746353,170.289368,109.248352,104.543831,156.925034,167.4254,67.254684,84.454407,167.224106,163.961288,30.931692,1,0.6,0,0,0
6,'2015/11/24 19:53:37:841',1,105.096138,109.249901,170.436188,170.910599,165.709946,170.009262,109.221573,104.819298,157.044174,167.346817,67.442345,84.414192,167.087204,159.536758,30.937729,1,0.6,0,0,0
7,'2015/11/24 19:53:37:886',1,105.120003,109.244019,170.863846,170.937653,165.648315,169.922974,109.183907,104.897194,157.090439,167.2827,67.414146,84.428596,167.494247,157.76947,30.949003,1,0.6,0,0,0
8,'2015/11/24 19:53:37:955',1,105.347198,109.27182,170.762787,171.148773,165.584473,170.169601,109.206741,104.809296,157.202118,167.231003,67.468689,84.323608,167.06665,156.744125,30.910021,1,0.6,0,0,0
9,'2015/11/24 19:53:38:036',1,106.613396,109.015434,168.958527,171.768066,165.495941,169.961609,109.0774,105.270058,157.398926,167.131653,67.095634,84.633492,167.647537,157.854675,30.844812,1,0.6,0,0,0
10,'2015/11/24 19:53:38:088',1,106.569145,109.062714,169.175629,171.802536,165.469223,169.490753,109.095284,105.660118,157.42067,167.088181,67.13076,84.600403,167.682465,155.843506,30.862164,1,0.6,0,0,0
11,'2015/11/24 19:53:38:164',1,105.953026,109.06105,169.572021,170.62326,165.78273,170.467773,109.120743,104.880768,157.976898,167.175674,67.090042,84.922264,167.326218,164.207703,30.335136,1,0.6,0,0,0
12,'2015/11/24 19:53:38:228',1,106.700516,109.86599,169.140961,171.166382,165.713013,169.928818,109.062485,105.224121,158.060333,167.238754,67.124916,85.930588,167.85788,164.351639,30.311487,1,0.6,0,0,0
13,'2015/11/24 19:53:38:290',1,106.477501,110.165352,170.121933,171.355652,165.541138,169.967056,108.93335,105.182106,158.095383,167.113922,67.139877,85.632744,168.560059,160.538498,30.376383,1,0.6,0,0,0
14,'2015/11/24 19:53:38:371',1,106.715622,110.601425,170.563492,171.105774,165.470291,170.059677,108.839317,105.237389,158.245926,166.917542,67.098434,85.782784,168.995728,159.207596,30.404249,1,0.6,0,0,0
15,'2015/11/24 19:53:38:431',1,106.65641,110.605522,170.473297,170.841431,165.716156,169.663712,108.899727,105.501884,158.46138,166.861389,67.092422,85.696472,169.508224,156.653992,30.312044,1,0.6,0,0,0
16,'2015/11/24 19:53:38:471',1,106.677872,110.89254,171.15892,170.51683,165.75293,169.830643,108.877876,105.57901,158.600128,166.894226,67.151115,86.001915,170.145432,154.005692,30.390558,1,0.6,0,0,0
17,'2015/11/24 19:53:38:541',1,106.381096,111.126312,171.304443,169.315964,165.877502,169.816696,108.897865,105.539871,158.668716,166.464417,67.143364,86.016823,170.430923,165.914383,30.92857,1,0.6,0,0,0
18,'2015/11/24 19:53:38:611',1,106.07605,111.23658,171.118149,170.422943,166.600906,171.965515,108.822334,104.759285,158.72406,166.589157,67.111679,85.972954,170.208542,162.90097,31.011545,1,0.6,0,0,0
19,'2015/11/24 19:53:38:681',1,105.790016,111.305077,171.333557,170.139893,166.74881,170.774429,108.56884,118.014862,158.566193,166.737686,67.038681,85.85273,170.994812,165.33342,31.328787,1,0.6,0,0,0
20,'2015/11/24 19:53:38:750',1,105.615112,111.389984,171.55394,169.744431,166.592911,172.938782,108.63755,104.716171,158.360245,166.763062,66.950806,86.121834,171.859329,166.475006,31.665922,1,0.6,0,0,0
21,'2015/11/24 19:53:38:820',1,105.594093,111.415924,171.297455,169.681717,166.157501,172.281906,108.501419,104.798218,158.001251,166.42186,66.924286,86.287941,171.907532,167.781403,32.629929,1,0.6,0,0,0
22,'2015/11/24 19:53:38:887',1,105.561043,111.38076,171.244781,169.834778,166.102524,172.504318,108.297157,104.731453,157.976639,166.335312,66.950043,86.41304,171.498215,166.802505,32.764202,1,0.6,0,0,0
23,'2015/11/24 19:53:38:956',1,105.586525,111.403351,171.140701,171.252853,166.015289,172.605042,108.339218,104.726616,158.004227,166.179291,66.987114,86.56395,171.875519,166.394989,32.873581,1,0.6,0,0,0
24,'2015/11/24 19:53:39:025',1,105.630165,111.441696,171.44873,171.605453,164.592606,172.020889,107.96463,104.945786,157.261154,166.081787,67.001991,86.745476,172.110107,165.661819,33.719971,1,0.6,0,0,0
25,'2015/11/24 19:53:39:093',1,105.595695,111.420799,171.329529,169.810089,164.144333,172.499435,107.873734,104.835983,157.009323,166.125931,67.072617,87.636444,171.991211,165.099411,34.017021,1,0.6,0,0,0
26,'2015/11/24 19:53:39:161',1,105.654587,111.531807,171.152679,169.628525,163.579529,173.929581,107.780548,104.455772,156.669952,166.188309,67.103539,87.743202,172.034271,164.356018,34.404976,1,0.6,0,0,0
27,'2015/11/24 19:53:39:200',1,105.656052,111.566704,171.376266,169.712708,163.401581,172.187057,107.745842,104.848778,156.565659,166.163345,67.160225,87.759712,172.620728,162.858673,34.501041,1,0.6,0,0,0
28,'2015/11/24 19:53:39:267',1,105.68351,111.650192,170.955246,171.804428,163.611343,172.126083,107.868431,104.852654,156.556213,166.243683,67.191238,87.345848,171.901581,160.018875,34.428726,1,0.6,0,0,0
29,'2015/11/24 19:53:39:335',1,105.682991,111.614243,171.367096,169.960434,164.987823,171.849304,108.026108,105.001717,157.354446,166.322693,67.266327,87.889442,172.62793,160.505524,33.670223,1,0.6,0,0,0
30,'2015/11/24 19:53:39:404',1,105.679939,111.657234,170.832138,171.054932,164.661697,174.274658,107.919151,104.389839,157.16832,166.494843,67.289581,87.662689,171.087326,160.600311,33.615803,1,0.6,0,0,0
31,'2015/11/24 19:53:39:479',1,105.69249,111.753609,170.847229,170.839828,164.807114,173.674103,107.950371,104.533951,157.176437,166.580994,67.292328,87.73143,170.669327,157.746201,33.45433,1,0.6,0,0,0
