@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute limbs-1 numeric
@attribute limbs-2 numeric
@attribute limbs-3 numeric
@attribute limbs-4 numeric
@attribute limbs-5 numeric
@attribute limbs-6 numeric
@attribute limbs-7 numeric
@attribute limbs-8 numeric
@attribute limbs-9 numeric
@attribute limbs-10 numeric
@attribute limbs-11 numeric
@attribute limbs-12 numeric
@attribute limbs-13 numeric
@attribute limbs-14 numeric
@attribute limbs-15 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric

@data
1,'2015/11/24 19:10:52:923',1,104.522514,115.62886,129.475784,171.075882,163.884628,150.307571,106.761726,137.850769,174.763489,156.469421,71.25705,68.266006,168.950943,166.181396,18.698973,8,1.22,0,0,0
2,'2015/11/24 19:10:53:110',1,104.294106,115.452644,130.444168,171.362869,162.12085,150.819168,106.965744,136.082809,175.023071,157.755569,70.810417,68.436272,170.526123,162.359619,17.742203,8,1.22,0,0,0
3,'2015/11/24 19:10:53:257',1,104.120552,115.299416,127.866089,170.691406,162.389603,151.528473,107.016563,146.022217,175.630829,157.725769,69.296219,68.424553,167.37027,165.088608,18.163857,8,1.22,0,0,0
4,'2015/11/24 19:10:53:308',1,104.091705,115.255196,127.472816,170.99791,162.388596,151.715012,107.059143,145.963364,175.74025,157.794678,68.931435,68.423203,167.774734,163.798157,18.162663,8,1.22,0,0,0
5,'2015/11/24 19:10:53:383',1,104.258591,115.214806,128.452637,171.05629,162.644897,151.957016,107.098175,143.748016,175.841675,157.84671,69.590096,68.227234,168.71315,162.998337,18.176817,8,1.22,0,0,0
6,'2015/11/24 19:10:53:464',1,104.307129,115.263535,129.554947,171.003998,162.684357,152.369431,107.10157,140.666046,176.010513,158.023087,70.115982,68.002403,167.702362,165.822433,18.126987,8,1.22,0,0,0
7,'2015/11/24 19:10:53:531',1,104.357574,115.284286,131.263992,171.276123,162.745209,152.579498,107.141075,137.648163,176.154755,158.119781,71.031952,67.901527,166.257782,167.091965,18.186058,8,1.22,0,0,0
8,'2015/11/24 19:10:53:587',1,104.478912,115.530937,131.375732,171.567017,162.838577,152.755859,107.092735,136.879288,176.107758,158.126099,70.815918,67.860748,167.115387,167.37381,18.142818,8,1.22,0,0,0
9,'2015/11/24 19:10:53:655',1,104.912369,116.321312,132.722961,166.313828,162.839935,152.697357,107.072624,137.362366,175.875427,157.87735,71.633385,70.380196,165.234467,161.349365,18.217522,8,1.22,0,0,0
10,'2015/11/24 19:10:53:707',1,105.219154,117.116417,131.344482,167.133972,163.216827,152.826324,106.885475,137.671982,175.684723,157.735016,71.373093,70.302376,165.485565,158.901398,18.171902,8,1.22,0,0,0
11,'2015/11/24 19:10:53:774',1,105.438385,118.548019,128.29567,166.206223,164.460983,153.169373,128.113846,139.89122,175.646378,157.765442,70.048424,71.234116,167.239883,160.332642,18.066654,8,1.22,0,0,0
12,'2015/11/24 19:10:53:845',1,106.029053,120.190338,126.60582,165.696472,164.644104,153.782257,130.332336,137.154892,175.293427,157.577576,69.365219,75.267731,170.561081,170.649948,17.918079,8,1.22,0,0,0
13,'2015/11/24 19:10:53:918',1,106.121735,120.370193,120.20636,167.558121,162.613861,154.461304,106.427681,137.08165,174.668839,157.26062,62.232704,77.838417,148.609314,127.860878,17.576565,8,1.22,0,0,0
14,'2015/11/24 19:10:53:965',1,106.181984,118.959755,119.801636,158.862656,161.966064,154.933884,106.456314,136.693146,174.0737,157.497803,62.082695,85.31179,150.349777,154.285553,16.711437,8,1.22,0,0,0
15,'2015/11/24 19:10:54:040',1,106.163841,125.304649,116.681023,161.21846,162.149536,154.844452,106.471802,136.997009,173.336945,156.748566,59.448223,88.931732,139.825867,147.180954,16.686281,8,1.22,0,0,0
16,'2015/11/24 19:10:54:122',1,106.402382,130.099518,115.745934,152.038391,161.989517,155.143356,107.000519,137.999207,173.013992,156.05159,59.89777,109.457565,173.118332,160.847351,16.984343,8,1.22,0,0,0
17,'2015/11/24 19:10:54:163',1,110.161346,95.00341,144.058624,154.268112,158.497635,156.873566,136.759781,138.007584,169.381531,154.532257,90.080109,116.862564,174.591309,160.936935,14.861964,8,1.22,0,0,0
18,'2015/11/24 19:10:54:242',1,109.200714,86.539536,141.325485,154.464111,158.716965,156.67424,107.675262,139.030777,169.822876,155.230164,92.934387,120.50161,160.494537,159.778412,14.594795,8,1.22,0,0,0
19,'2015/11/24 19:10:54:316',1,108.070786,86.983803,140.436539,151.482315,161.852966,152.902267,138.669937,142.624756,170.838867,154.760178,94.164391,139.854218,159.092072,171.740616,16.098511,8,1.22,0,0,0
20,'2015/11/24 19:10:54:358',1,108.792633,89.117355,141.843307,154.906921,161.849518,152.87233,138.248123,142.487045,171.115936,154.983429,94.635544,143.353119,170.404633,166.609009,16.173004,8,1.22,0,0,0
21,'2015/11/24 19:10:54:434',1,111.811302,100.801254,142.891281,151.92395,165.229645,149.201355,108.566551,144.762604,174.580597,158.749512,98.085136,156.901138,174.04628,173.779312,15.961185,8,1.22,0,0,0
22,'2015/11/24 19:10:54:511',1,113.741959,105.094749,143.673203,158.846451,161.67421,152.221008,137.656143,144.683929,176.048615,160.329773,100.570686,167.18428,139.456161,166.669189,16.292181,8,1.22,0,0,0
23,'2015/11/24 19:10:54:555',1,114.6409,105.568642,145.747559,161.947083,161.071167,152.519928,135.218338,145.23999,175.958939,160.259796,101.441452,170.064423,172.055405,175.72403,16.548782,8,1.22,0,0,0
24,'2015/11/24 19:10:54:632',1,114.846886,104.811356,147.167816,166.690247,160.685806,152.803482,136.106659,144.850296,175.956879,160.376572,102.026703,178.383392,171.930222,168.393936,16.698128,8,1.22,0,0,0
25,'2015/11/24 19:10:54:705',1,115.252541,105.443542,144.621368,173.013702,162.194031,152.960312,137.579865,143.913681,176.711365,160.743423,101.906708,170.669296,167.903625,176.033752,17.78289,8,1.22,0,0,0
