@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute limbs-1 numeric
@attribute limbs-2 numeric
@attribute limbs-3 numeric
@attribute limbs-4 numeric
@attribute limbs-5 numeric
@attribute limbs-6 numeric
@attribute limbs-7 numeric
@attribute limbs-8 numeric
@attribute limbs-9 numeric
@attribute limbs-10 numeric
@attribute limbs-11 numeric
@attribute limbs-12 numeric
@attribute limbs-13 numeric
@attribute limbs-14 numeric
@attribute limbs-15 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric

@data
1,'2015/12/02 11:17:46:628',1,129.268768,111.550728,166.56488,161.923721,153.119797,145.748901,102.334137,101.573013,154.966034,158.158981,103.621323,45.781845,167.838974,174.472168,11.113554,7,0.56,0,0,0
2,'2015/12/02 11:17:46:738',1,129.066422,110.574364,167.364655,161.167145,155.323975,147.346329,103.439987,102.046074,155.204605,157.358917,107.212196,47.839199,165.982239,170.51503,8.915317,7,0.56,0,0,0
3,'2015/12/02 11:17:46:802',1,127.921013,112.015732,165.719559,158.907196,150.237717,157.263168,97.246193,102.327957,154.444397,163.606598,116.769394,56.009518,165.452225,165.862869,9.168701,7,0.56,0,0,0
4,'2015/12/02 11:17:46:869',1,127.487076,111.827507,169.300751,162.5289,158.036621,156.97319,108.315109,102.517761,153.40506,163.266464,116.601074,58.761509,156.122665,167.848343,9.906424,7,0.56,0,0,0
5,'2015/12/02 11:17:47:002',1,124.093872,110.248444,100.326294,163.193283,154.036957,157.403519,102.414749,102.708611,153.219696,163.231033,66.54792,58.706585,131.240723,173.293533,10.098986,7,0.56,0,0,0
6,'2015/12/02 11:17:47:039',1,124.217697,111.851906,99.781738,164.508392,148.143692,157.474487,98.3367,102.984711,153.444351,163.265549,66.114037,59.236256,133.125153,176.923279,9.93304,7,0.56,0,0,0
7,'2015/12/02 11:17:47:173',1,125.318123,111.614487,94.663986,164.876465,155.241409,145.206741,101.80069,103.361412,153.784515,157.857208,60.309025,54.714447,132.25975,161.783112,10.540999,7,0.56,0,0,0
8,'2015/12/02 11:17:47:220',1,125.538307,112.804024,90.819565,164.371979,159.487579,144.682755,103.996941,103.774734,154.168716,156.688522,58.944,53.887466,129.812057,167.339035,10.157939,7,0.56,0,0,0
9,'2015/12/02 11:17:47:315',1,126.774574,121.144081,96.561249,165.8759,151.789337,142.470749,97.441444,102.811234,154.029922,153.863174,55.241096,55.98938,131.809662,177.201035,8.802127,7,0.56,0,0,0
10,'2015/12/02 11:17:47:362',1,127.200981,115.433441,168.391098,167.452667,151.072998,144.208023,97.7034,103.990372,153.827271,155.062881,104.213692,47.734612,164.435196,173.383102,8.974756,7,0.56,0,0,0
11,'2015/12/02 11:17:47:413',1,127.445755,49.369476,170.816833,169.310272,149.13298,144.520615,94.305069,104.444252,154.06337,156.603134,96.427315,37.630489,177.518784,172.038101,8.979148,7,0.56,0,0,0
12,'2015/12/02 11:17:47:487',1,127.892197,42.625816,171.276886,173.405045,152.342468,142.841721,96.942116,104.246384,154.035004,154.131302,88.487869,35.81432,171.186768,173.647018,8.565389,7,0.56,0,0,0
13,'2015/12/02 11:17:47:523',1,128.43132,38.379745,173.900314,168.915024,152.316299,142.891342,97.022179,103.66555,154.1707,154.081192,83.464508,35.332397,158.65799,173.986389,8.714317,7,0.56,0,0,0
14,'2015/12/02 11:17:47:545',1,128.722031,37.932297,170.644226,174.581833,148.957108,145.036301,147.08374,103.410065,154.55542,155.857101,82.042725,34.460114,167.399612,172.332291,8.977787,7,0.56,0,0,0
15,'2015/12/02 11:17:47:594',1,130.700928,45.833866,174.3246,172.172836,146.537659,153.661148,142.346466,101.414391,155.601929,162.537033,77.239929,33.40567,154.732681,171.426941,6.974729,7,0.56,0,0,0
16,'2015/12/02 11:17:47:631',1,131.208466,46.381767,158.422516,172.532532,151.691162,158.671783,94.112473,101.450554,156.832443,160.47319,73.326569,33.283298,175.527481,171.583206,11.423572,7,0.56,0,0,0
17,'2015/12/02 11:17:47:669',1,130.988388,43.851913,164.395416,172.266312,153.201553,165.796204,94.62294,101.272919,161.435104,164.543915,71.801445,32.089645,165.587265,165.831345,11.041086,7,0.56,0,0,0
18,'2015/12/02 11:17:47:713',1,130.623398,45.265022,163.467453,171.29628,157.589722,152.876511,96.719574,101.184952,162.544724,157.761475,65.408577,30.954941,175.867294,170.813187,5.983482,7,0.56,0,0,0
19,'2015/12/02 11:17:47:736',1,130.684662,46.545879,129.740173,171.869034,153.993729,135.016647,94.773849,99.618843,160.909027,147.278702,62.57967,30.754234,130.679764,167.797882,14.308852,7,0.56,0,0,0
