@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute limbs-1 numeric
@attribute limbs-2 numeric
@attribute limbs-3 numeric
@attribute limbs-4 numeric
@attribute limbs-5 numeric
@attribute limbs-6 numeric
@attribute limbs-7 numeric
@attribute limbs-8 numeric
@attribute limbs-9 numeric
@attribute limbs-10 numeric
@attribute limbs-11 numeric
@attribute limbs-12 numeric
@attribute limbs-13 numeric
@attribute limbs-14 numeric
@attribute limbs-15 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric

@data
1,'2015/11/27 09:44:30:082',1,115.275627,73.648941,133.557098,161.471756,126.327522,115.282127,18.65172,55.614975,155.588577,141.516968,46.046883,42.14312,175.72525,153.336655,29.853033,7,0.56,0,0,0
2,'2015/11/27 09:44:30:226',1,116.07486,73.964111,142.083588,164.486725,133.95076,109.46167,12.120575,70.6577,155.822601,136.361786,46.102169,42.137836,156.682953,166.37912,37.196312,7,0.56,0,0,0
3,'2015/11/27 09:44:30:343',1,122.890404,73.609024,153.05188,167.578247,138.693665,129.163589,12.166051,54.012558,151.195633,146.177078,35.054436,29.542839,161.672592,142.29689,31.733065,7,0.56,0,0,0
4,'2015/11/27 09:44:30:464',1,123.614716,72.969429,154.545242,161.374542,137.076279,126.765633,15.619852,52.415283,148.914902,141.777939,24.898199,25.33182,165.490402,170.394012,28.700823,7,0.56,0,0,0
5,'2015/11/27 09:44:30:552',1,124.437714,72.785866,149.486725,164.950623,125.471504,121.685677,15.930163,55.694641,147.823853,140.772247,20.412336,23.344017,177.575272,159.819443,31.330032,7,0.56,0,0,0
6,'2015/11/27 09:44:30:635',1,125.291321,73.51738,145.252106,160.264954,137.941589,110.769318,5.263602,52.904316,156.527359,148.500748,50.584549,22.076237,177.447296,165.174713,43.919189,7,0.56,0,0,0
7,'2015/11/27 09:44:30:726',1,126.647774,75.143288,107.482109,162.934952,117.950958,131.171249,12.308109,53.268661,152.730469,156.055939,51.877186,21.762199,132.610794,172.628922,49.655403,7,0.56,0,0,0
8,'2015/11/27 09:44:30:839',1,127.358948,75.400276,108.534691,161.488953,130.7836,73.537422,15.235556,40.408997,164.585083,157.473312,51.709736,21.501225,127.754021,168.090363,36.748241,7,0.56,0,0,0
9,'2015/11/27 09:44:30:912',1,128.595505,73.993469,132.298721,158.602737,152.373886,68.414421,16.573038,37.290157,165.538956,155.468231,48.162735,21.3174,171.401901,172.84584,36.25769,7,0.56,0,0,0
10,'2015/11/27 09:44:30:988',1,128.245499,71.943916,165.822769,163.916595,134.475204,73.044373,12.097108,34.68248,151.667313,145.900269,70.707596,21.428101,175.044937,169.351959,30.577147,7,0.56,0,0,0
11,'2015/11/27 09:44:31:068',1,124.757454,68.697945,167.802429,164.888184,134.323639,60.965977,14.366162,29.847034,141.293106,142.720963,78.124123,26.786112,167.328232,174.796188,22.497644,7,0.56,0,0,0
12,'2015/11/27 09:44:31:162',1,122.736969,68.846695,169.965942,162.065445,132.090363,50.168404,17.426821,31.654417,139.443527,137.849014,84.329941,27.553667,160.039627,167.498154,23.336613,7,0.56,0,0,0
13,'2015/11/27 09:44:31:275',1,118.681335,73.281342,169.49147,163.747452,145.652496,70.545944,5.623121,30.180285,142.401779,162.577255,109.338837,42.121235,166.509644,170.870285,30.240847,7,0.56,0,0,0
14,'2015/11/27 09:44:31:358',1,118.067345,74.271309,147.862579,173.841965,149.335587,66.41964,7.455212,28.811686,146.155792,161.013809,56.772362,46.171093,170.895599,153.18869,26.451778,7,0.56,0,0,0
15,'2015/11/27 09:44:31:463',1,116.23336,74.535751,162.064377,168.75679,143.41301,72.84716,9.319852,28.629993,148.410416,159.728729,65.694855,47.666302,154.920685,130.699615,24.485075,7,0.56,0,0,0
16,'2015/11/27 09:44:31:529',1,116.206329,74.703888,162.54837,163.100128,145.429626,72.504074,7.918948,28.523842,149.692749,159.361725,70.400421,50.458656,153.707611,142.410461,23.645754,7,0.56,0,0,0
17,'2015/11/27 09:44:31:606',1,116.159042,74.627571,160.974457,158.809204,149.325546,66.279198,9.024913,28.612366,151.202042,158.562134,70.594925,50.296429,153.815155,150.255646,23.322264,7,0.56,0,0,0
18,'2015/11/27 09:44:31:700',1,116.187599,74.630287,159.909988,157.657852,150.724533,66.587578,9.750773,28.207314,151.86615,158.253601,70.732857,50.301346,156.171722,153.580231,22.206034,7,0.56,0,0,0
19,'2015/11/27 09:44:31:785',1,116.994713,74.784668,159.572647,142.58696,152.274902,65.765854,9.057252,28.465101,151.533905,157.851288,66.833549,45.881718,151.742569,169.893265,22.81715,7,0.56,0,0,0
20,'2015/11/27 09:44:31:870',1,116.88443,74.38147,160.741577,164.817795,148.252136,62.711617,6.991851,28.597008,148.840378,156.459961,58.79361,39.579884,157.529083,146.450394,25.1625,7,0.56,0,0,0
21,'2015/11/27 09:44:32:010',1,120.47567,73.289566,163.02626,172.584824,147.686111,57.438831,9.796103,31.593216,147.140823,152.523376,39.026943,28.093443,170.867722,163.837234,28.776381,7,0.56,0,0,0
22,'2015/11/27 09:44:32:097',1,119.017494,73.761757,170.295486,176.086319,151.473282,54.782791,9.207963,27.668287,146.816528,152.034149,37.589642,25.496954,162.032547,159.80191,24.103901,7,0.56,0,0,0
23,'2015/11/27 09:44:32:169',1,121.284279,74.463203,175.344559,162.584366,141.673248,80.40007,7.319504,23.510361,149.143387,163.052048,39.51461,25.790422,175.040131,172.730728,18.783993,7,0.56,0,0,0
24,'2015/11/27 09:44:32:254',1,120.498001,77.995903,155.160141,169.653793,141.469055,69.143532,9.381948,29.37372,143.887589,160.966049,24.372082,22.552567,141.549637,167.859085,36.394638,7,0.56,0,0,0
25,'2015/11/27 09:44:32:354',1,121.228355,76.295464,154.333694,163.975723,129.202271,81.921921,7.763067,17.446632,150.878464,163.572906,20.679379,24.211586,141.091232,167.702499,15.621001,7,0.56,0,0,0
26,'2015/11/27 09:44:32:452',1,122.157364,69.733711,152.377716,165.484222,128.689423,79.057678,13.476115,39.159393,146.733017,129.404297,5.787981,27.415125,140.736343,168.438873,35.448811,7,0.56,0,0,0
27,'2015/11/27 09:44:32:581',1,122.18071,71.201744,151.314743,168.96283,97.381424,66.891251,10.165954,32.710827,162.006653,132.564133,5.331745,27.752314,140.254761,172.054871,40.611252,7,0.56,0,0,0
28,'2015/11/27 09:44:32:649',1,122.845413,72.026924,150.797256,163.609451,93.114273,146.376175,12.99588,22.52807,166.757721,135.853043,5.204989,28.621401,140.109634,170.834824,35.731243,7,0.56,0,0,0
29,'2015/11/27 09:44:32:733',1,122.848289,71.738976,150.60141,163.740021,84.536873,158.751602,15.4725,135.38031,166.454407,148.7547,5.657284,28.472826,139.96019,171.299713,19.896145,7,0.56,0,0,0
30,'2015/11/27 09:44:32:816',1,122.569969,71.764717,150.884476,164.114548,85.981758,153.23851,14.956891,134.733841,159.894287,145.979965,6.609313,26.843699,139.9534,159.724228,17.034842,7,0.56,0,0,0
31,'2015/11/27 09:44:32:891',1,120.983376,72.44384,154.862549,152.669586,116.784157,136.852051,12.19208,134.658066,131.120392,150.210098,14.170662,26.762432,141.332993,167.606628,19.955475,7,0.56,0,0,0
32,'2015/11/27 09:44:32:969',1,119.996834,72.492638,158.584213,164.462585,120.958626,141.547668,17.702734,10.529388,142.602188,151.741119,14.564314,26.283152,148.716949,170.09848,19.424253,7,0.56,0,0,0
33,'2015/11/27 09:44:33:044',1,120.073311,73.969666,170.609955,165.295654,116.058586,132.680099,13.152556,6.389268,140.169601,139.83136,22.44788,26.467094,178.30014,172.945114,2.506759,7,0.56,0,0,0
34,'2015/11/27 09:44:33:121',1,120.252495,73.967964,100.758095,165.19252,118.183746,130.906158,13.544778,14.262056,141.176254,136.32428,25.078802,27.165649,168.055389,169.73204,4.930386,7,0.56,0,0,0
35,'2015/11/27 09:44:33:200',1,119.302002,74.685104,169.131271,166.255783,118.270668,123.804688,13.690096,12.649899,139.18399,135.626831,88.432404,30.366529,163.876831,169.977661,4.15938,7,0.56,0,0,0
36,'2015/11/27 09:44:33:337',1,116.925522,105.295357,166.548294,170.237595,97.767105,150.428284,165.45816,10.902204,156.023758,152.781326,102.26075,61.872478,160.199066,169.589218,27.756798,7,0.56,0,0,0
37,'2015/11/27 09:44:33:409',1,116.749748,105.319389,167.771881,167.546707,98.162384,127.072334,165.603058,15.284132,157.68338,140.088394,105.616066,63.135746,157.923981,173.437027,25.821287,7,0.56,0,0,0
38,'2015/11/27 09:44:33:519',1,115.227257,107.794479,163.952866,165.669281,47.355076,126.612404,14.353788,11.59255,155.936462,140.636688,55.377445,67.19149,135.773422,172.31926,19.093529,7,0.56,0,0,0
39,'2015/11/27 09:44:33:591',1,111.892845,114.097916,153.030884,163.185776,129.813217,126.897934,13.748764,10.901695,147.093384,142.100891,56.99966,86.664131,162.538696,173.136124,22.733156,7,0.56,0,0,0
40,'2015/11/27 09:44:33:690',1,114.593918,103.194923,163.22583,159.427338,132.55098,150.80809,10.651391,12.353502,145.175186,152.562607,64.042587,67.970512,152.537781,171.88681,9.159298,7,0.56,0,0,0
41,'2015/11/27 09:44:33:798',1,114.997757,99.769188,162.605057,156.640717,138.98674,124.363747,10.217286,42.829277,149.653519,149.217651,65.497879,70.619698,154.440506,173.538834,26.744862,7,0.56,0,0,0
42,'2015/11/27 09:44:33:851',1,116.176796,100.460571,163.020752,153.612137,139.87793,126.79644,10.197351,44.136227,149.315506,149.02951,66.115852,71.456139,150.200333,167.32196,26.817863,7,0.56,0,0,0
43,'2015/11/27 09:44:33:932',1,116.303993,98.095848,163.366608,161.369019,140.213028,133.576797,10.425575,45.26115,149.272507,149.177429,66.96328,77.483582,150.001175,169.483826,26.269638,7,0.56,0,0,0
44,'2015/11/27 09:44:34:016',1,116.106255,98.659866,162.320557,162.849976,137.138336,128.004974,8.854247,49.439041,146.527084,149.777054,67.892525,78.027138,152.621765,163.134872,30.568417,7,0.56,0,0,0
45,'2015/11/27 09:44:34:056',1,116.198738,97.61068,163.155792,166.216248,140.908081,133.744812,11.33557,50.292168,147.253815,149.097748,67.35524,77.873802,152.783615,154.878677,30.190311,7,0.56,0,0,0
46,'2015/11/27 09:44:34:184',1,116.304779,99.045509,164.668594,167.190186,130.575211,129.910202,8.959727,51.153847,147.938339,148.424667,65.97818,75.520546,154.62674,166.016373,29.876717,7,0.56,0,0,0
47,'2015/11/27 09:44:34:254',1,117.286591,111.946983,165.74649,170.708084,114.620789,128.38092,8.793137,53.32497,148.325043,147.402679,60.735718,67.083023,154.484238,158.385345,31.287016,7,0.56,0,0,0
48,'2015/11/27 09:44:34:347',1,116.644455,106.424156,145.924377,173.994934,125.999283,121.674278,15.745331,60.52319,143.136917,144.487579,44.747158,60.238049,174.313309,149.626266,39.431465,7,0.56,0,0,0
49,'2015/11/27 09:44:34:534',1,123.542686,67.290154,152.955307,169.339661,133.2379,121.461769,12.795306,60.708385,146.474548,137.042313,69.249512,41.298042,172.891327,174.220459,38.939442,7,0.56,0,0,0
50,'2015/11/27 09:44:34:624',1,123.666077,66.75853,150.157684,177.305893,138.224274,109.373779,5.894786,70.645523,151.731064,130.539078,66.251678,39.754505,154.291733,174.875717,52.25943,7,0.56,0,0,0
51,'2015/11/27 09:44:34:679',1,124.891045,66.441963,137.479111,171.944199,132.225189,114.562973,1.638848,61.596363,149.521378,136.942413,62.383049,38.899632,120.839081,169.985931,51.005333,7,0.56,0,0,0
52,'2015/11/27 09:44:34:773',1,123.534615,65.195343,139.99704,173.354309,160.005051,107.434105,20.319632,76.450562,158.540665,126.36248,55.095451,36.788857,103.79142,160.284363,58.334034,7,0.56,0,0,0
53,'2015/11/27 09:44:34:890',1,124.083832,66.948456,140.502289,169.569305,158.533768,104.381104,14.990606,49.189178,159.737747,130.832993,51.803982,35.820908,104.148438,150.609848,40.496796,7,0.56,0,0,0
54,'2015/11/27 09:44:34:988',1,122.653793,77.871895,138.925842,170.395844,150.62178,77.505714,13.285888,146.748184,139.318375,120.116501,49.675762,40.009644,177.821823,177.444641,65.696358,7,0.56,0,0,0
55,'2015/11/27 09:44:35:047',1,122.508369,82.07045,138.222061,166.220276,130.891342,78.708611,3.3067,128.910461,142.633041,116.448639,49.383923,38.262486,177.827454,165.618393,54.269714,7,0.56,0,0,0
56,'2015/11/27 09:44:35:159',1,122.651619,82.069527,112.149323,166.746597,137.21257,76.262405,5.806988,137.43486,145.050827,119.143532,49.687881,37.546024,153.4189,160.2099,54.487228,7,0.56,0,0,0
57,'2015/11/27 09:44:35:272',1,122.010368,80.926872,137.917313,163.779221,147.082474,60.101368,8.084579,14.793878,156.129272,144.471756,54.313988,34.874226,172.32312,160.418335,18.790314,7,0.56,0,0,0
58,'2015/11/27 09:44:35:339',1,121.861488,78.981857,145.838211,155.940308,134.748367,66.720276,18.909372,15.902796,147.756516,152.414795,55.889648,34.2682,156.400223,109.369835,28.473707,7,0.56,0,0,0
59,'2015/11/27 09:44:35:432',1,121.729767,68.332367,167.800507,174.488693,99.427856,54.82988,6.146335,8.71902,147.077209,158.385574,69.75573,38.040558,166.385803,173.443268,16.095888,7,0.56,0,0,0
60,'2015/11/27 09:44:35:572',1,120.936775,69.560844,164.976898,164.627457,88.105026,71.155823,76.749199,7.931322,131.162689,146.229263,85.928688,45.357975,176.167587,163.904877,58.153175,7,0.56,0,0,0
61,'2015/11/27 09:44:35:634',1,121.084663,70.348015,168.175568,172.685196,89.764748,55.963898,78.470673,8.453517,131.2827,145.887085,93.153969,52.256691,177.742706,169.686066,59.032307,7,0.56,0,0,0
62,'2015/11/27 09:44:35:699',1,119.055641,70.798897,166.843323,167.591446,134.536057,65.719124,10.791293,7.885566,147.260071,152.961365,102.619904,54.285484,153.518936,170.762955,5.853515,7,0.56,0,0,0
63,'2015/11/27 09:44:35:825',1,118.031914,95.622711,171.347153,170.070618,129.898346,67.063698,11.881697,8.827024,147.62085,153.66597,109.516998,68.628273,164.508759,178.793365,6.54196,7,0.56,0,0,0
64,'2015/11/27 09:44:35:902',1,117.483322,96.346176,170.849869,164.573502,125.581345,66.612427,7.661362,9.108669,147.435654,153.175339,114.233818,68.636597,177.171127,171.407867,6.166672,7,0.56,0,0,0
65,'2015/11/27 09:44:35:979',1,117.108627,96.924088,175.967133,166.257187,121.845215,67.269989,5.578953,9.593669,146.94873,152.553192,113.715599,71.745399,176.206757,176.839279,5.855841,7,0.56,0,0,0
66,'2015/11/27 09:44:36:112',1,114.914886,106.667458,155.872314,169.421188,133.568985,128.651657,10.639877,57.031784,148.16066,146.461304,59.748955,71.569244,158.231232,166.818207,34.672501,7,0.56,0,0,0
67,'2015/11/27 09:44:36:195',1,113.526062,105.109497,153.639267,168.287155,139.834961,130.417191,11.331204,56.920979,149.083252,146.181473,60.147732,73.006126,159.251297,170.183502,34.362679,7,0.56,0,0,0
68,'2015/11/27 09:44:36:272',1,109.015961,104.096489,150.474655,168.490005,142.489395,126.9729,10.029093,57.574749,148.814804,146.070801,61.338055,74.139816,162.987213,171.485184,34.776501,7,0.56,0,0,0
69,'2015/11/27 09:44:36:351',1,108.178444,99.85537,160.305573,160.012131,133.286377,127.826752,12.506534,57.229782,148.648102,146.309799,69.54464,72.386604,147.101273,175.547241,32.989395,7,0.56,0,0,0
70,'2015/11/27 09:44:36:451',1,108.562302,99.009911,160.935516,161.427673,133.296524,124.543495,10.499059,63.186684,148.453873,145.762726,69.616943,71.630714,145.405014,170.016434,38.843479,7,0.56,0,0,0
71,'2015/11/27 09:44:36:524',1,111.114319,99.278816,164.832199,161.052872,138.535645,131.396286,10.080821,60.93652,148.087997,146.10112,65.939232,70.597893,143.279358,169.648209,38.69973,7,0.56,0,0,0
72,'2015/11/27 09:44:36:604',1,121.471588,106.313156,170.719437,172.82756,138.74733,128.6754,10.465273,62.307163,147.921967,144.943115,58.91008,65.579025,154.689392,157.616104,40.151489,7,0.56,0,0,0
73,'2015/11/27 09:44:36:685',1,118.853859,112.649811,161.629639,163.269836,133.734467,129.98291,13.028939,60.0005,146.824219,143.546738,45.713539,69.914856,156.845398,165.153961,38.175903,7,0.56,0,0,0
74,'2015/11/27 09:44:36:771',1,119.095978,103.927567,160.445496,174.322632,128.80574,124.379158,14.084169,63.885239,145.043137,138.736893,37.49752,56.378365,147.267502,156.822647,41.90905,7,0.56,0,0,0
75,'2015/11/27 09:44:36:858',1,120.53006,71.288628,171.139038,160.715195,132.004105,111.222252,7.018998,72.837379,142.310043,129.672394,29.035784,43.703518,122.342354,159.332565,54.39233,7,0.56,0,0,0
76,'2015/11/27 09:44:36:942',1,120.533279,79.997017,158.473358,169.852905,132.014297,121.481659,6.51033,59.961372,143.005051,139.040283,27.512453,42.901703,119.639923,169.251724,44.67934,7,0.56,0,0,0
77,'2015/11/27 09:44:37:031',1,124.393646,77.403572,153.169785,168.844635,135.617905,127.681267,5.175121,42.200607,144.558289,149.884384,24.340687,36.760513,171.557922,161.078659,33.323761,7,0.56,0,0,0
78,'2015/11/27 09:44:37:101',1,120.62973,75.542816,150.197388,163.097046,111.776344,157.340851,4.908696,17.264563,140.018005,159.250275,18.249271,37.881245,158.274826,156.451233,20.424726,7,0.56,0,0,0
79,'2015/11/27 09:44:37:187',1,121.160637,67.472656,92.125229,156.027954,142.303848,131.722778,1.328126,17.124027,146.818771,147.674149,41.090263,35.462391,163.255325,179.007843,13.039284,7,0.56,0,0,0
80,'2015/11/27 09:44:37:272',1,124.17067,84.915581,88.096855,172.701874,147.873291,145.613083,2.582711,15.398795,144.844589,151.179214,47.12513,40.191448,134.108765,174.508835,16.695141,7,0.56,0,0,0
81,'2015/11/27 09:44:37:352',1,116.84317,62.103783,173.540146,165.620209,144.375259,128.725159,9.550969,14.20061,144.997742,145.965591,65.95726,41.499451,135.212784,176.51506,1.315859,7,0.56,0,0,0
82,'2015/11/27 09:44:37:431',1,125.885185,87.862038,173.886475,167.899872,128.450867,63.552917,4.267005,2.989285,146.026779,159.718048,66.605904,42.055576,130.345184,176.705353,14.796208,7,0.56,0,0,0
83,'2015/11/27 09:44:37:526',1,125.33342,78.689537,172.632019,170.473038,118.137154,65.413002,2.953719,3.891361,145.691803,160.019882,67.425339,39.441864,171.817123,172.94722,16.999233,7,0.56,0,0,0
84,'2015/11/27 09:44:37:646',1,123.66333,75.594589,151.614716,175.4366,137.289536,48.97485,28.402914,12.851704,148.921875,144.50853,73.458206,41.921463,132.64798,153.401703,7.900489,7,0.56,0,0,0
85,'2015/11/27 09:44:37:718',1,122.570946,73.929665,170.108231,172.065872,145.302094,64.746048,28.853848,169.949173,162.453369,159.932968,69.062531,40.296871,171.058258,171.253891,27.575951,7,0.56,0,0,0
86,'2015/11/27 09:44:37:802',1,122.408104,73.149994,167.293533,173.660324,145.968811,78.675438,24.076954,172.885284,163.226563,160.911194,71.686745,39.535164,175.740784,173.766693,6.582057,7,0.56,0,0,0
87,'2015/11/27 09:44:37:879',1,121.618507,72.215042,168.309982,170.660538,78.894386,54.033627,15.322295,11.618313,155.751419,157.699677,83.067986,43.515884,173.94574,167.264755,2.17133,7,0.56,0,0,0
88,'2015/11/27 09:44:37:964',1,121.521805,71.125465,171.995377,163.081726,108.797081,56.85804,2.852132,6.902419,144.344223,149.203674,89.237473,47.376793,166.583206,164.15686,5.446313,7,0.56,0,0,0
89,'2015/11/27 09:44:38:049',1,122.30455,70.381622,172.575348,152.677231,98.767212,56.971928,6.588937,7.365596,145.526001,150.934311,96.02858,50.273441,161.241272,177.877243,5.776496,7,0.56,0,0,0
90,'2015/11/27 09:44:38:247',1,118.911163,106.662117,172.787979,157.779892,133.850143,61.652813,14.712774,4.450975,148.049759,147.712891,109.676964,63.659298,178.691681,165.644012,28.676819,7,0.56,0,0,0
91,'2015/11/27 09:44:38:359',1,117.55349,109.321968,121.085632,162.725449,151.80542,134.506287,15.120331,55.067459,149.45752,147.972946,77.502159,68.001282,175.538345,163.618195,33.406528,7,0.56,0,0,0
92,'2015/11/27 09:44:38:685',1,117.995041,113.033325,170.877975,165.616531,142.507324,133.983871,8.242833,52.774986,147.898254,146.617722,73.259254,71.301712,151.621613,178.925293,30.132549,7,0.56,0,0,0
93,'2015/11/27 09:44:38:814',1,118.194557,104.320969,169.638702,171.825851,136.648941,136.792572,12.647982,50.516163,148.02858,147.722519,67.346657,68.582848,156.985214,153.257874,29.389713,7,0.56,0,0,0
94,'2015/11/27 09:44:38:921',1,118.432663,108.189682,177.574326,171.102066,139.524826,134.176758,13.181831,52.33823,148.661041,148.372101,68.963058,67.597,161.269043,147.797958,31.053448,7,0.56,0,0,0
95,'2015/11/27 09:44:39:021',1,121.387909,119.331795,165.572006,172.206909,124.717644,122.589638,17.242199,62.036793,146.419479,140.261322,45.631214,68.581749,160.14209,158.149765,37.923641,7,0.56,0,0,0
96,'2015/11/27 09:44:39:125',1,121.083458,117.473969,154.973587,164.357986,127.017937,132.955353,18.421425,56.799854,145.730469,140.081894,36.235867,62.318459,174.992188,166.128937,35.625793,7,0.56,0,0,0
97,'2015/11/27 09:44:39:208',1,120.284927,117.024483,152.735001,170.474808,125.474312,129.86644,21.037033,56.807095,146.479996,141.236298,31.968334,59.138641,173.738037,162.400085,29.273464,7,0.56,0,0,0
98,'2015/11/27 09:44:39:306',1,124.435692,70.792747,146.027344,172.087982,135.97728,110.387604,5.652852,67.732361,151.360413,132.095642,18.019777,40.017647,174.333984,168.978302,51.860874,7,0.56,0,0,0
99,'2015/11/27 09:44:39:374',1,123.499886,36.614632,74.315598,171.473083,117.427177,108.172073,12.799767,66.414291,142.306534,134.275757,12.252751,30.479946,154.050461,174.143997,54.260586,7,0.56,0,0,0
100,'2015/11/27 09:44:39:454',1,122.684273,75.614761,80.745224,171.379044,113.210243,110.766785,30.885735,115.056297,140.756271,134.082809,8.183863,42.798798,130.981018,152.825912,53.085152,7,0.56,0,0,0
101,'2015/11/27 09:44:39:531',1,122.084648,75.063774,78.345528,166.784897,110.053696,118.298019,13.101665,115.122009,153.716995,133.321152,8.048908,43.39093,134.852478,156.300705,43.563866,7,0.56,0,0,0
102,'2015/11/27 09:44:39:601',1,122.627808,76.177055,77.992607,173.059464,141.006592,102.63063,9.584977,53.461456,152.391754,128.845123,8.441584,40.156822,136.29071,169.011017,44.653538,7,0.56,0,0,0
103,'2015/11/27 09:44:39:681',1,123.868744,75.616287,76.819351,167.000092,92.161827,84.007706,13.281666,52.023411,168.085068,130.268784,9.381349,42.097656,138.351563,169.790359,44.782661,7,0.56,0,0,0
104,'2015/11/27 09:44:39:762',1,124.867027,74.962196,75.594376,168.002716,117.866219,99.889305,6.487352,46.574802,162.184723,132.942841,9.065412,41.015202,143.309814,174.105881,42.57196,7,0.56,0,0,0
105,'2015/11/27 09:44:39:837',1,125.679306,75.115906,77.028641,172.814011,107.548798,95.493614,6.852798,48.884651,162.267105,131.985764,8.50916,40.456535,154.685822,153.657974,39.050125,7,0.56,0,0,0
106,'2015/11/27 09:44:39:911',1,124.868294,74.519379,82.983681,165.77771,137.990814,128.193161,25.342293,55.04039,138.779282,135.058334,12.651999,43.985313,162.201782,135.306641,46.403687,7,0.56,0,0,0
107,'2015/11/27 09:44:39:997',1,124.283875,73.546127,75.459564,173.278076,138.617981,124.408546,16.075171,57.561138,142.761185,134.606049,12.009196,43.664619,129.712662,172.088638,32.991463,7,0.56,0,0,0
108,'2015/11/27 09:44:40:083',1,125.882614,70.790733,80.159523,172.011871,81.193649,138.838791,17.927317,43.437698,161.064163,149.401001,13.867107,41.639175,116.304077,171.329239,24.687643,7,0.56,0,0,0
109,'2015/11/27 09:44:40:211',1,123.343834,70.977478,75.303215,168.277023,127.834465,129.94751,14.877962,47.332165,143.577179,149.483902,28.606564,47.359436,159.162872,176.40799,30.183855,7,0.56,0,0,0
110,'2015/11/27 09:44:40:295',1,119.198059,70.822083,96.105476,153.044724,131.120209,136.475815,16.900862,47.898872,143.502289,146.687286,38.416759,46.116398,144.468735,177.925674,28.646641,7,0.56,0,0,0
111,'2015/11/27 09:44:40:470',1,117.934265,74.529716,102.716499,166.842361,128.100906,143.457657,8.105274,45.342537,146.176727,151.543518,68.873116,59.153458,167.506744,172.406464,30.372169,7,0.56,0,0,0
