@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute limbs-1 numeric
@attribute limbs-2 numeric
@attribute limbs-3 numeric
@attribute limbs-4 numeric
@attribute limbs-5 numeric
@attribute limbs-6 numeric
@attribute limbs-7 numeric
@attribute limbs-8 numeric
@attribute limbs-9 numeric
@attribute limbs-10 numeric
@attribute limbs-11 numeric
@attribute limbs-12 numeric
@attribute limbs-13 numeric
@attribute limbs-14 numeric
@attribute limbs-15 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric

@data
1,'2015/11/24 18:19:12:765',1,110.57634,113.98407,154.887299,168.021835,166.541824,162.38884,105.525909,104.906342,163.241989,175.912201,90.717422,49.687786,170.109329,174.020721,16.208464,1,0.56,0,0,0
2,'2015/11/24 18:19:12:924',1,106.931068,112.858925,156.129684,166.471115,169.166122,161.158112,105.39502,105.064232,164.164871,174.387222,103.881378,49.819237,161.609406,155.404648,18.271332,1,0.56,0,0,0
3,'2015/11/24 18:19:12:985',1,106.216064,112.701279,154.740387,163.468857,169.566269,161.195648,105.355766,105.078644,164.157822,174.384872,101.746002,49.440605,170.485611,156.007339,18.386427,1,0.56,0,0,0
4,'2015/11/24 18:19:13:039',1,125.723206,113.424805,161.124969,161.621704,169.374344,161.410263,105.463379,105.113548,163.97374,174.688568,121.65995,49.454399,172.316238,164.234543,18.207024,1,0.56,0,0,0
5,'2015/11/24 18:19:13:101',1,125.025864,113.320511,165.129166,160.098892,169.099915,162.683807,105.479179,105.168625,163.89473,174.990356,123.835045,48.879482,173.303253,164.923523,18.442259,1,0.56,0,0,0
6,'2015/11/24 18:19:13:236',1,122.468727,112.962532,164.993912,160.221664,168.374908,165.534317,105.710609,105.346832,165.432037,174.962326,130.950623,49.108639,173.98056,167.536682,18.640287,1,0.56,0,0,0
7,'2015/11/24 18:19:13:347',1,112.099815,112.768173,166.061707,161.030106,168.136368,166.70871,106.145203,105.670189,167.817642,173.415863,125.029968,50.502853,163.822525,167.69017,18.596567,1,0.56,0,0,0
8,'2015/11/24 18:19:13:407',1,113.075523,112.15976,172.798904,161.706528,168.028442,167.401825,106.234917,105.722595,168.980087,172.368179,126.372452,50.750526,170.837631,169.027435,18.59742,1,0.56,0,0,0
9,'2015/11/24 18:19:13:466',1,115.607277,111.702034,162.910706,164.052856,167.943756,168.068695,106.487541,105.86364,169.911301,171.397156,132.003235,50.975529,163.637253,176.836884,18.690172,1,0.56,0,0,0
10,'2015/11/24 18:19:13:532',1,115.046989,112.069756,168.658615,165.004593,167.90593,168.571426,106.607872,105.913177,170.688507,170.652481,130.402832,51.11816,165.358673,179.406296,18.649157,1,0.56,0,0,0
11,'2015/11/24 18:19:13:591',1,114.545425,112.325584,172.936066,167.105377,167.836639,168.972443,106.63327,105.906525,171.221863,170.055115,132.042892,51.303478,146.296158,175.967682,18.696051,1,0.56,0,0,0
12,'2015/11/24 18:19:13:636',1,114.504921,115.474258,172.470062,165.17453,167.831619,169.283142,106.767654,106.042618,171.774445,169.400421,132.692322,53.531815,175.585739,172.233673,18.788633,1,0.56,0,0,0
13,'2015/11/24 18:19:13:691',1,110.97567,114.873772,171.217896,164.398087,167.829422,169.400253,106.972069,106.252022,172.453903,168.743851,126.858627,53.61092,174.517578,172.165161,18.752396,1,0.56,0,0,0
14,'2015/11/24 18:19:13:773',1,109.269264,117.212425,173.920334,160.023636,167.802322,170.011368,106.853096,106.239777,173.637238,167.521088,128.253174,56.246098,167.130661,174.096909,18.828585,1,0.56,0,0,0
15,'2015/11/24 18:19:13:837',1,108.899948,118.708832,174.064026,158.743042,167.752625,170.054703,106.755951,106.177948,173.973358,167.239487,127.569725,57.137951,163.374557,172.202194,18.786547,1,0.56,0,0,0
16,'2015/11/24 18:19:13:908',1,108.267258,118.922562,170.218765,160.064377,167.530716,169.977921,106.658524,106.133171,174.711472,166.719055,124.961052,58.350838,167.283005,166.280151,18.561419,1,0.56,0,0,0
17,'2015/11/24 18:19:13:966',1,108.110535,119.109131,173.364883,160.897339,167.472763,170.097794,106.554779,106.057137,174.953293,166.51889,124.7621,59.041183,166.652054,166.066971,18.499113,1,0.56,0,0,0
18,'2015/11/24 18:19:14:027',1,108.170784,119.249733,174.752701,161.653793,167.448807,170.054794,106.561424,106.082542,175.153259,166.380203,124.487587,59.589348,168.408096,164.7603,18.436277,1,0.56,0,0,0
19,'2015/11/24 18:19:14:097',1,108.253532,119.675041,169.709473,160.627319,167.524109,169.989746,106.407013,106.016029,175.258713,166.261353,120.041077,61.106373,170.161041,176.308136,18.41477,1,0.56,0,0,0
20,'2015/11/24 18:19:14:165',1,108.328262,120.015656,173.586807,159.913635,167.558578,170.081329,106.33918,105.995514,175.450363,166.217377,119.888214,61.610023,170.740128,171.324692,18.249857,1,0.56,0,0,0
21,'2015/11/24 18:19:14:251',1,108.738388,120.263077,171.428421,158.726089,167.427475,170.201553,106.25132,105.965332,175.660522,165.967743,110.954086,62.30854,174.171234,165.786743,18.258734,1,0.56,0,0,0
22,'2015/11/24 18:19:14:309',1,108.886986,120.461876,172.16832,159.389343,167.372986,170.433685,106.162361,105.883148,175.698471,165.950897,108.929733,62.499516,170.364716,166.738297,18.21109,1,0.56,0,0,0
23,'2015/11/24 18:19:14:368',1,108.608429,120.238319,169.031738,160.397659,167.400146,170.470825,105.97052,105.747078,175.512085,166.07962,102.478706,62.254639,172.005997,170.327911,18.195343,1,0.56,0,0,0
24,'2015/11/24 18:19:14:427',1,108.57235,119.991592,166.47403,162.690094,167.363831,170.507385,105.840843,105.648621,175.301758,166.118942,95.825684,61.639961,172.636902,174.624664,18.296055,1,0.56,0,0,0
25,'2015/11/24 18:19:14:512',1,108.127357,119.864548,168.390076,166.287079,167.620682,170.535538,105.726357,105.549797,174.324142,166.890671,87.874474,60.470284,175.428772,176.121124,18.56492,1,0.56,0,0,0
26,'2015/11/24 18:19:14:557',1,108.088699,119.775047,169.193359,166.949371,167.769287,170.65239,105.701187,105.529999,173.994568,167.056885,86.478111,59.860821,175.805634,174.41922,18.763388,1,0.56,0,0,0
27,'2015/11/24 18:19:14:647',1,107.845604,119.010757,168.871552,167.138412,167.761322,170.756256,105.708282,105.491104,173.700439,167.181961,77.578171,58.783897,178.138504,174.723282,18.915277,1,0.56,0,0,0
28,'2015/11/24 18:19:14:692',1,107.355423,118.41729,168.508255,165.808258,167.726898,170.693237,105.697113,105.469482,173.504669,167.342712,74.876488,58.553684,168.200729,174.507996,18.926722,1,0.56,0,0,0
29,'2015/11/24 18:19:14:771',1,108.006912,117.685417,176.431442,162.636551,167.179443,170.639328,105.749001,105.415558,173.146652,167.498779,62.221149,58.327866,169.942322,174.773331,19.043045,1,0.56,0,0,0
30,'2015/11/24 18:19:14:819',1,108.067184,117.556267,174.770569,161.679153,166.845886,170.581818,105.780304,105.38401,172.906937,167.59549,60.446636,58.345734,165.160156,174.844879,19.131187,1,0.56,0,0,0
31,'2015/11/24 18:19:14:886',1,108.460968,117.220985,173.535614,160.575607,166.499023,170.749405,105.824516,105.36338,172.656586,167.612732,57.404747,58.220364,169.766006,174.896759,19.330208,1,0.56,0,0,0
32,'2015/11/24 18:19:14:970',1,110.973701,117.527351,173.087646,159.422791,166.100967,170.311172,105.833061,105.327843,171.462006,168.830597,53.46423,57.362144,164.811325,174.835785,19.239676,1,0.56,0,0,0
33,'2015/11/24 18:19:15:025',1,111.459785,117.674835,168.013657,158.762634,166.103241,169.943939,105.784729,105.332092,170.745911,169.506805,53.827126,57.026875,166.133087,176.598145,19.225996,1,0.56,0,0,0
34,'2015/11/24 18:19:15:109',1,112.554161,117.464714,152.021423,159.136765,166.476944,168.440582,105.9851,105.429283,169.451462,171.134048,54.286098,55.107491,156.582367,176.184326,18.956238,1,0.56,0,0,0
35,'2015/11/24 18:19:15:157',1,113.707848,115.184372,168.089203,164.198242,166.991928,166.680054,105.883705,105.326088,166.346695,174.264526,67.206429,53.203972,167.194107,177.648056,18.762674,1,0.56,0,0,0
36,'2015/11/24 18:19:15:316',1,112.583603,115.016258,169.245438,168.245544,167.752518,165.66333,140.858582,105.590874,164.25148,176.89032,83.625923,50.285633,170.842331,171.724533,18.516991,1,0.56,0,0,0
37,'2015/11/24 18:19:15:318',1,113.683792,114.675438,169.650803,168.438309,168.362289,165.833313,140.244064,105.642151,164.596588,177.391907,84.19751,50.416756,163.122635,173.783386,17.91239,1,0.56,0,0,0
38,'2015/11/24 18:19:15:379',1,113.608261,112.705055,159.530579,169.348618,168.866699,165.075089,140.475632,105.52166,164.263428,178.250671,103.76387,49.968235,159.941208,173.76297,17.468996,1,0.56,0,0,0
39,'2015/11/24 18:19:15:423',1,113.530052,111.968384,155.33313,168.419983,170.762573,162.336517,140.159073,105.372849,164.222412,177.469589,103.879349,49.679386,163.695221,177.227402,18.14629,1,0.56,0,0,0
40,'2015/11/24 18:19:15:512',1,119.685471,109.845314,159.798126,165.864075,171.007156,162.850601,139.925583,104.986519,164.237381,177.251282,123.057732,49.000023,171.592072,176.598785,18.222383,1,0.56,0,0,0
41,'2015/11/24 18:19:15:562',1,121.137718,109.586159,160.465332,164.346039,170.05336,164.304657,139.620377,104.987595,164.242645,177.239487,126.079483,49.297886,166.996368,177.175491,18.334431,1,0.56,0,0,0
42,'2015/11/24 18:19:15:641',1,121.624107,106.83551,169.739883,160.585892,168.772537,165.834976,138.816757,104.894119,164.637573,176.92363,129.132126,48.984043,170.522247,168.400665,18.121412,1,0.56,0,0,0
43,'2015/11/24 18:19:15:688',1,121.027992,107.308464,173.317764,166.658325,168.987823,166.033508,137.341431,104.935005,164.610794,176.993027,129.884781,47.058517,177.996506,172.099274,18.139893,1,0.56,0,0,0
44,'2015/11/24 18:19:15:768',1,120.695953,107.737167,177.756042,169.203659,169.088608,166.424194,138.186935,105.009956,164.468826,177.196182,133.702362,46.349632,173.735031,168.997513,18.198475,1,0.56,0,0,0
45,'2015/11/24 18:19:15:826',1,120.435699,107.495689,177.530014,169.942535,169.249786,166.981537,138.344101,105.04155,164.973465,176.731049,135.086868,46.938709,178.998901,166.528763,18.251953,1,0.56,0,0,0
46,'2015/11/24 18:19:15:914',1,119.934715,107.35215,175.700623,170.811981,169.222534,167.45752,137.772705,105.071037,165.179337,176.494705,136.137283,47.475788,176.332153,163.850571,18.317171,1,0.56,0,0,0
47,'2015/11/24 18:19:16:036',1,119.029427,112.140411,171.904602,164.936539,169.216171,167.560089,137.66095,105.201241,165.051224,176.455429,142.874451,49.735775,176.319336,165.581879,18.482876,1,0.56,0,0,0
